order_id,order_number,order_date,paid_date,status,shipping_total,shipping_tax_total,fee_total,fee_tax_total,tax_total,cart_discount,order_discount,discount_total,order_total,order_subtotal,order_currency,payment_method,payment_method_title,transaction_id,customer_ip_address,customer_user_agent,shipping_method,customer_id,customer_user,customer_email,billing_first_name,billing_last_name,billing_company,billing_email,billing_phone,billing_address_1,billing_address_2,billing_postcode,billing_city,billing_state,billing_country,order_notes,line_item_1,line_item_2,line_item_3,line_item_4,line_item_5,line_item_6,line_item_7,line_item_8,line_item_9,line_item_10
57674,57674,"2026-07-28 18:30:00","2026-07-28 18:30:00",completed,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,69.00,INR,,,,,,,433,433,karthik.thandapani@gmail.com,Karthik,,,karthik.thandapani@gmail.com,8939979393,"Radiance Lakefront, Villa # 24 No. 1 Ranganathan street, Thendral nagar, Karapakkam, Chennai - 600096",Karapakam,600087,Chennai,TN,IN,"content: subscribed). Legacy order ids: 5453682. Customer legacy id: 28341.|date:2026-07-20 11:54:04|customer:0|added_by:","name:Cow Milk 1/2 Litre|product_id:0|sku:|quantity:1|total:69.00|sub_total:69.00|meta:qtytype:additional",,,,,,,,,
57675,57675,"2026-07-28 18:30:00","2026-07-28 18:30:00",completed,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,79.00,INR,,,,,,,489,489,jhanani.montessori@gmail.com,"Jhanani Priya",,,jhanani.montessori@gmail.com,9841006288,"B1, Second Floor, Avittam Adiyogi, Plot no 20 and 21, West Canal Road, Thiruvanmiyur,",Thoraipakkam,600096,Chennai,TN,IN,"content: subscribed). Legacy order ids: 5451432. Customer legacy id: 30021.|date:2026-07-20 11:54:04|customer:0|added_by:","name:Cow Milk 3/4 Litre|product_id:0|sku:|quantity:1|total:79.00|sub_total:79.00|meta:qtytype:additional",,,,,,,,,
57676,57676,"2026-07-28 18:30:00","2026-07-28 18:30:00",completed,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,79.00,INR,,,,,,,1170,1170,eswar06@gmail.com,"DURAI ESWAR",,,eswar06@gmail.com,8056203666,"32/ 24B, 4TH STREET, BALAJI NAGAR, ROYAPETTAH, CHENNAI",Royapettah,600014,Royapettah,TN,IN,"content: subscribed). Legacy order ids: 5453942. Customer legacy id: 32811.|date:2026-07-20 11:54:05|customer:0|added_by:","name:Cow Milk 3/4 Litre|product_id:0|sku:|quantity:1|total:79.00|sub_total:79.00|meta:qtytype:additional",,,,,,,,,
57677,57677,"2026-07-28 18:30:00","2026-07-28 18:30:00",completed,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,109.00,INR,,,,,,,1234,1234,santhosh9841662691@gmail.com,Santhosh,,,santhosh9841662691@gmail.com,8637617963,"No.44/48,yas vilas, solaiappan street",Mylapore,600004,Chennai,TN,IN,"content: subscribed). Legacy order ids: 5452085. Customer legacy id: 32925.|date:2026-07-20 11:54:05|customer:0|added_by:","name:Buffalo Milk 1 Litre|product_id:0|sku:|quantity:1|total:109.00|sub_total:109.00|meta:qtytype:additional",,,,,,,,,
57678,57678,"2026-07-29 18:30:00","2026-07-29 18:30:00",completed,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,109.00,INR,,,,,,,336,336,laddhadmonika@gmail.com,Monika,Jhaver,,laddhadmonika@gmail.com,9940172187,"7b blue mont apartments",Kilpauk,600010,Chennai,TN,IN,"content: subscribed). Legacy order ids: 5453888. Customer legacy id: 24837.|date:2026-07-20 11:54:05|customer:0|added_by:","name:Cow Milk 1 Litre|product_id:0|sku:|quantity:1|total:109.00|sub_total:109.00|meta:qtytype:additional",,,,,,,,,
57679,57679,"2026-07-29 18:30:00","2026-07-29 18:30:00",completed,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,69.00,INR,,,,,,,433,433,karthik.thandapani@gmail.com,Karthik,,,karthik.thandapani@gmail.com,8939979393,"Radiance Lakefront, Villa # 24 No. 1 Ranganathan street, Thendral nagar, Karapakkam, Chennai - 600096",Karapakam,600087,Chennai,TN,IN,"content: subscribed). Legacy order ids: 5453683. Customer legacy id: 28341.|date:2026-07-20 11:54:06|customer:0|added_by:","name:Cow Milk 1/2 Litre|product_id:0|sku:|quantity:1|total:69.00|sub_total:69.00|meta:qtytype:additional",,,,,,,,,
57680,57680,"2026-07-29 18:30:00","2026-07-29 18:30:00",completed,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,79.00,INR,,,,,,,446,446,baggubhargav@gmail.com,"P M BHARGAV ACHAR",,,baggubhargav@gmail.com,9445113912,"Alraza Fernhill, T 3, III Floor, New No.22, IV Main Road, Kasthuri Bai Nagar, Adyar",Adyar,600020,Chennai,TN,IN,"content: subscribed). Legacy order ids: 5452794. Customer legacy id: 28758.|date:2026-07-20 11:54:06|customer:0|added_by:","name:Cow Milk 3/4 Litre|product_id:0|sku:|quantity:1|total:79.00|sub_total:79.00|meta:qtytype:additional",,,,,,,,,
57681,57681,"2026-07-29 18:30:00","2026-07-29 18:30:00",completed,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,79.00,INR,,,,,,,1170,1170,eswar06@gmail.com,"DURAI ESWAR",,,eswar06@gmail.com,8056203666,"32/ 24B, 4TH STREET, BALAJI NAGAR, ROYAPETTAH, CHENNAI",Royapettah,600014,Royapettah,TN,IN,"content: subscribed). Legacy order ids: 5453943. Customer legacy id: 32811.|date:2026-07-20 11:54:07|customer:0|added_by:","name:Cow Milk 3/4 Litre|product_id:0|sku:|quantity:1|total:79.00|sub_total:79.00|meta:qtytype:additional",,,,,,,,,
57682,57682,"2026-07-29 18:30:00","2026-07-29 18:30:00",completed,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,109.00,INR,,,,,,,1234,1234,santhosh9841662691@gmail.com,Santhosh,,,santhosh9841662691@gmail.com,8637617963,"No.44/48,yas vilas, solaiappan street",Mylapore,600004,Chennai,TN,IN,"content: subscribed). Legacy order ids: 5452086. Customer legacy id: 32925.|date:2026-07-20 11:54:08|customer:0|added_by:","name:Buffalo Milk 1 Litre|product_id:0|sku:|quantity:1|total:109.00|sub_total:109.00|meta:qtytype:additional",,,,,,,,,
57683,57683,"2026-07-29 18:30:00","2026-07-29 18:30:00",completed,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,69.00,INR,,,,,,,1371,1371,rishubjj@gmail.com,Rishub,,,rishubjj@gmail.com,9840870070,"23/2, Habibullah Road,  T.Nagar","Hindi Prachar sabha",600017,Chennai,TN,IN,"content: subscribed). Legacy order ids: 5431509. Customer legacy id: 33186.|date:2026-07-20 11:54:08|customer:0|added_by:","name:Buffalo Milk 1/2 Litre|product_id:0|sku:|quantity:1|total:69.00|sub_total:69.00|meta:qtytype:additional",,,,,,,,,
